Horse ID,Price_Back_1,Price_Lay_1,Horse Volume %
240980,4.9,5.1,40.57940904
8887142,8.4,9,12.85750056
54944458,27,40,1.454125723
15233,19,21,3.984646484
18670569,10,11.5,5.357241009
55345341,5.3,5.8,12.19853305
56584908,12.5,14,14.50827832
55432876,16,18,0.675151611
56777089,42,65,0.089470566
736812,10.5,15,5.02745189
56330232,10.5,12.5,3.290867895
240980,5.1,5.2,40.55673289
8887142,8.4,9,12.96513738
54944458,27,40,1.452329614
15233,18.5,21,3.979724722
18670569,10.5,11.5,5.350623843
55345341,5.3,5.8,12.18346565
56584908,11.5,14,14.49035796
55432876,16,18,0.674317677
56777089,44,55,0.089360054
736812,10.5,15,5.021242074
56330232,11,12.5,3.286803075
240980,5.1,5.3,40.50663796
8887142,8.4,9,12.96513738
54944458,27,40,1.452329614
15233,18.5,21,3.979724722
18670569,10.5,11.5,5.350623843
55345341,5.3,5.8,12.18346565
56584908,11,13.5,14.49035796
55432876,16,18,0.674317677
56777089,44,55,0.089360054
736812,10.5,15,5.021242074
56330232,11,12.5,3.286803075
240980,5.1,5.3,40.50663796
8887142,8.4,9.8,12.96513738
54944458,27,40,1.452329614
15233,18.5,21,3.979724722
18670569,10.5,11.5,5.350623843
